                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.72397,                0.74413,                 1.1913,                0.78619,                0.91996,                0.95429,                0.58555,                 1.5284,                0.91767,                 2.0591,             0.00038705,             0.00038705,             0.00038705
                     60,                0.66798,                0.71348,                 1.1653,                 0.6581,                0.92088,                0.89383,                0.51123,                 1.5652,                 1.0453,                 2.1315,             0.00037805,             0.00037805,             0.00037805
                     61,                0.68854,                0.68484,                 1.1683,                0.72732,                0.94945,                0.87959,                0.48947,                 1.5757,                0.85579,                 2.1755,             0.00036905,             0.00036905,             0.00036905
                     62,                0.68559,                0.69347,                 1.1581,                0.62768,                0.89276,                0.86392,                0.46959,                 1.6546,                0.90181,                 2.3242,             0.00036005,             0.00036005,             0.00036005
                     63,                0.66603,                0.68481,                 1.1423,                0.63732,                0.92088,                0.93109,                0.51317,                 1.5257,                0.93989,                 2.2148,             0.00035106,             0.00035106,             0.00035106
                     64,                0.67079,                0.68415,                   1.17,                0.86634,                0.69113,                0.85979,                 0.4971,                 1.6982,                0.91276,                 2.3647,             0.00034206,             0.00034206,             0.00034206
                     65,                0.68849,                0.67349,                 1.1833,                0.89502,                0.72377,                0.87207,                0.42787,                 1.6374,                 1.0397,                 2.2732,             0.00033306,             0.00033306,             0.00033306
                     66,                0.65068,                0.68902,                 1.1456,                0.95492,                0.69479,                0.86499,                0.48781,                 1.5605,                0.93649,                  2.209,             0.00032406,             0.00032406,             0.00032406
                     67,                0.64829,                0.65391,                 1.1374,                0.78685,                0.87185,                0.85522,                0.49681,                 1.5491,                 1.0427,                 2.2092,             0.00031506,             0.00031506,             0.00031506
                     68,                 0.6394,                0.65578,                 1.1295,                0.67863,                0.89615,                0.86466,                0.51567,                 1.5294,                 1.0057,                 2.2328,             0.00030606,             0.00030606,             0.00030606
                     69,                0.61855,                0.61837,                 1.1191,                0.94549,                0.70347,                0.85071,                 0.5076,                 1.5018,                0.94924,                 2.1282,             0.00029706,             0.00029706,             0.00029706
                     70,                0.61304,                0.60193,                 1.1175,                0.75273,                0.81837,                0.89887,                0.47299,                  1.704,                 1.0701,                 2.4261,             0.00028806,             0.00028806,             0.00028806
                     71,                0.61167,                0.59371,                 1.1137,                0.59107,                0.88508,                0.82644,                0.43175,                 1.6252,                 1.0524,                 2.3338,             0.00027906,             0.00027906,             0.00027906
                     72,                0.59079,                0.57865,                 1.1029,                0.69206,                0.84945,                0.87405,                0.46435,                  1.614,                0.92048,                 2.3486,             0.00027006,             0.00027006,             0.00027006
